#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-23T00:37:41 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-23T00:37:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-out.src=J/MNRAS/371/703/catalog&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/MNRAS/371/703/catalog&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=E(B-V)&-out=SpType&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_73710703
#Name: J/MNRAS/371/703
#Title: MILES library of empirical spectra (Sanchez-Blazquez+, 2006)
#INFO	ivoid=ivo://cds.vizier/j/mnras/371/703	    IVOID of underlying data collection
#INFO	creator=Sanchez-Blazquez P.	    First author or institution
#INFO	cites=bibcode:2006MNRAS.371..703S	    Article or Data origin sources
#INFO	original_date=2006	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/371/703	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.73710703	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_371_703_catalog:
#Name: J/MNRAS/371/703/catalog
#Title: MILES star catalogue (08 Apr 2024 corrected version)
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a16)	Object name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	E(B-V)	(F6.3)	? Redenning	[ucd=phot.color.excess]
#Column	SpType	(a14)	MK spectral type	[ucd=src.spType]
_RAJ2000;_DEJ2000;Name;RAJ2000;DEJ2000;E(B-V);SpType
034.2050417;+64.9526111;HD013783        ;02 16 49.21;+64 57 09.4; 0.000;G8V
034.8445000;+48.9554722;HD014221        ;02 19 22.68;+48 57 19.7; 0.000;F4V
035.6356250;-23.8163333;HD014802        ;02 22 32.55;-23 48 58.8; 0.000;G1V
035.7885417;-10.6775833;HD014829        ;02 23 09.25;-10 40 39.3; 0.020;A0
036.0971250; -3.1040278;HD014938        ;02 24 23.31;-03 06 14.5; 0.018;F5
037.7266667;+17.7038611;HD015596        ;02 30 54.40;+17 42 13.9; 0.000;G5III-IV
038.0217917;-15.2446667;HD015798        ;02 32 05.23;-15 14 40.8; 0.000;F5V
038.5460417;-12.3843056;HD016031        ;02 34 11.05;-12 23 03.5; 0.000;G8III
039.1579583;+12.4476389;HD016234        ;02 36 37.91;+12 26 51.5; 0.001;F7V
039.2405833;+24.6480556;HD016232        ;02 36 57.74;+24 38 53.0; 0.038;F4V
040.0517500; -9.4528611;HD016673        ;02 40 12.42;-09 27 10.3; 0.005;F6V
040.1615833;-30.1353889;HD016784        ;02 40 38.78;-30 08 07.4; 0.000;F8V
040.4405833;+47.3503611;BD+460610       ;02 41 45.74;+47 21 01.3; 0.000;F8
040.8418750;+13.4325000;G004-036        ;02 43 22.05;+13 25 57.0; 0.058;K:
041.0215000;+44.2970278;HD016901        ;02 44 05.16;+44 17 49.3; 0.103;G0Ib-II
041.0306250;-13.8586944;HD017081        ;02 44 07.35;-13 51 31.3; 0.000;B7IV
041.9772500;+29.2471111;HD017361        ;02 47 54.54;+29 14 49.6; 0.020;K1.5III
041.9830000;-12.4606389;HD017491        ;02 47 55.92;-12 27 38.3; 0.034;M4III
042.0380833;+27.0686389;HD017382        ;02 48 09.14;+27 04 07.1; 0.000;K1V
042.2160417; -1.5096389;HD017548        ;02 48 51.85;-01 30 34.7; 0.008;F8
042.3780833;+57.0843056;HD017378        ;02 49 30.74;+57 05 03.5; 0.776;A5Ia
043.9520833;+18.3316389;HD018191        ;02 55 48.50;+18 19 53.9; 0.164;M6IIIvar
044.9530000;+57.6632500;HD018391        ;02 59 48.72;+57 39 47.7; 0.205;G0Ia
045.4068333;-28.0915556;HD018907        ;03 01 37.64;-28 05 29.6; 0.069;G5IV
047.1066250;+26.3309444;HD019445        ;03 08 25.59;+26 19 51.4; 0.000;A4p
047.1286667;+10.4458889;HD019510        ;03 08 30.88;+10 26 45.2; 0.140;F0.5
047.2667500;+49.6132778;HD019373        ;03 09 04.02;+49 36 47.8; 0.034;G0V
048.1935000; -1.1961111;HD019994        ;03 12 46.44;-01 11 46.0; 0.050;F8V
048.9498750;+57.1406111;HD020041        ;03 15 47.97;+57 08 26.2; 0.730;A0Ia
049.6130833;+15.1773333;HD020512        ;03 18 27.14;+15 10 38.4; 0.000;G5
049.7578750; -2.8431944;HD020619        ;03 19 01.89;-02 50 35.5; 0.002;G0
049.8404167; +3.3701944;HD020630        ;03 19 21.70;+03 22 12.7; 0.000;G5Vvar
050.6885000;+20.7420556;HD020893        ;03 22 45.24;+20 44 31.4; 0.031;K3III
050.8895417;+43.9572778;BD+430699       ;03 23 33.49;+43 57 26.2; 0.007;K2
051.0769583;+24.7240556;HD021017        ;03 24 18.47;+24 43 26.6; 0.004;K4III
051.2488750; -5.3637500;HD021197        ;03 24 59.73;-05 21 49.5; 0.072;K5V
052.2270000; -0.4175556;HD021581        ;03 28 54.48;-00 25 03.2; 0.000;G0
052.8225000;+66.7302778;BD+660268       ;03 31 17.40;+66 43 49.0; 0.000;G0
053.2326667; -9.4582500;HD022049        ;03 32 55.84;-09 27 29.7; 0.003;K2V
054.2182500; +0.4016667;HD022484        ;03 36 52.38;+00 24 06.0; 0.000;F8V
054.6515833;+74.7380000;HD021910        ;03 38 36.38;+74 44 16.8; 0.001;G8III-IV
055.0919167; -3.2169722;HD022879        ;03 40 22.06;-03 13 01.1; 0.000;F9V
055.8120833; -9.7633889;HD023249        ;03 43 14.90;-09 45 48.2; 0.000;K0IV
055.9764167; +3.4463611;HD023261        ;03 43 54.34;+03 26 46.9; 0.010;G5
056.0012500;+24.5569444;HD023194        ;03 44 00.30;+24 33 25.0;      ;A5V
056.7587917;+41.4272500;HD023439A       ;03 47 02.11;+41 25 38.1; 0.010;K1V
056.7611250;+41.4283056;HD023439B       ;03 47 02.67;+41 25 41.9; 0.010;K2V
056.8306667;+24.1390556;HD023607        ;03 47 19.36;+24 08 20.6;      ;A7V
057.1282083; +9.6459444;HD023841        ;03 48 30.77;+09 38 45.4; 0.053;K1III
057.4205000;+23.3415833;HD023924        ;03 49 40.92;+23 20 29.7;      ;A7V
058.4977500;-23.1370833;HD024616        ;03 53 59.46;-23 08 13.5; 0.000;G8IV/V
058.7132917;+52.4198611;HD024341        ;03 54 51.19;+52 25 11.5; 0.023;G1V
058.9045000;+52.2268056;HD024421        ;03 55 37.08;+52 13 36.5; 0.003;F5
060.3317500;+76.1593611;HD024451        ;04 01 19.62;+76 09 33.7; 0.067;K4V
060.8125000;+35.2732778;HD025329        ;04 03 15.00;+35 16 23.8; 0.000;K1Vsb
061.0458750;+23.4075278;HD025532        ;04 04 11.01;+23 24 27.1; 0.070;F6IV-V
061.0845833; -4.6551389;HD025673        ;04 04 20.30;-04 39 18.5; 0.006;K0
062.2642500;-15.8908611;HD026297        ;04 09 03.42;-15 53 27.1; 0.017;G5-6IVw
062.3207500;+30.7759722;HD281679        ;04 09 16.98;+30 46 33.5; 0.417;B8
062.7077500;+26.4809444;HD026322        ;04 10 49.86;+26 28 51.4; 0.003;F2IV-V
063.3046250; +6.6004722;BD+060648       ;04 13 13.11;+06 36 01.7; 0.000;K0
063.6479583;+22.3511944;HD284248        ;04 14 35.51;+22 21 04.3; 0.000;F2
063.7420000; -5.6302222;BD-060855       ;04 14 58.08;-05 37 48.8; 0.010;G:?
063.8180000; -7.6528611;HD026965        ;04 15 16.32;-07 39 10.3; 0.002;K1V
064.5802917;+16.0883333;HD285690        ;04 18 19.27;+16 05 18.0; 0.091;K0
064.6230833;+35.9916944;HD027126        ;04 18 29.54;+35 59 30.1; 0.000;F5
064.8587500;+21.1423056;HD027295        ;04 19 26.10;+21 08 32.3; 0.000;B9IV
064.9483333;+15.6276389;HD027371        ;04 19 47.60;+15 37 39.5; 0.014;K0III
065.8847083;+14.6704722;HD027771        ;04 23 32.33;+14 40 13.7; 0.000;G5
066.0240000;+17.4441389;HD027819        ;04 24 05.76;+17 26 38.9; 0.049;A7V
067.1541667;+19.1804167;HD028305        ;04 28 37.00;+19 10 49.5; 0.000;G9.5III
067.3816667;+17.8931944;HD285773        ;04 29 31.60;+17 53 35.5; 0.000;G5
068.4600000; +5.3850278;HD028946        ;04 33 50.40;+05 23 06.1; 0.001;K0
068.5344583; +5.5686111;HD028978        ;04 34 08.27;+05 34 07.0; 0.117;A2Vs
068.5490417; -8.9702500;HD029065        ;04 34 11.77;-08 58 12.9; 0.010;K4III
068.9801667;+16.5093056;HD029139        ;04 35 55.24;+16 30 33.5; 0.025;K5III
069.5326250;+51.1701389;BD+501021       ;04 38 07.83;+51 10 12.5; 0.060;G8:V:
071.8265833;+45.9863056;BD+450983       ;04 47 18.38;+45 59 10.7; 0.050;G8:V:
072.4260000;-13.7696667;HD030743        ;04 49 42.24;-13 46 10.8; 0.030;F3-5V
072.4776667;+37.4882778;HD030504        ;04 49 54.64;+37 29 17.8; 0.003;K4III
072.9315000;+45.8341667;HD030649        ;04 51 43.56;+45 50 03.0; 0.000;G1V-VI
073.0412917;-27.0641389;HD031128        ;04 52 09.91;-27 03 50.9; 0.000;F3/F5Vw
073.1331667;+14.2506389;HD030959        ;04 52 31.96;+14 15 02.3; 0.188;M3Svar
073.1582500;+36.7031944;HD030834        ;04 52 37.98;+36 42 11.5; 0.026;K3III
073.7238750;+10.1508333;HD031295        ;04 54 53.73;+10 09 03.0; 0.100;A0V
074.6370833; +1.7140000;HD031767        ;04 58 32.90;+01 42 50.4; 0.101;K2II
075.2041667; -5.7536667;HD032147        ;05 00 49.00;-05 45 13.2; 0.000;K3V
076.7064583;+43.1746944;HD032655        ;05 06 49.55;+43 10 28.9; 0.089;F2IIp?
077.1820833; -4.4561944;HD033256        ;05 08 43.70;-04 27 22.3; 0.000;F2V
077.4247917;+15.5972222;HD033276        ;05 09 41.95;+15 35 50.0; 0.002;F2IV
077.7903333; -4.1817778;HD293857        ;05 11 09.68;-04 10 54.4; 0.011;G8V
077.8299167; -2.4907778;HD033608        ;05 11 19.18;-02 29 26.8; 0.000;F5V
079.4176667;-13.5198333;HD034538        ;05 17 40.24;-13 31 11.4; 0.000;G8IV
079.4783333; -7.1311111;MS0515.4-0710   ;05 17 54.80;-07 07 52.0; 0.000;K2e
079.7852917;+40.0990556;HD034411        ;05 19 08.47;+40 05 56.6; 0.000;G0V
080.5776667; -8.6661111;HD035155        ;05 22 18.64;-08 39 58.0; 0.042;S?
080.5875417;-14.3972500;HD035179        ;05 22 21.01;-14 23 50.1; 0.000;G8IV
080.9867917; -7.8080556;HD035369        ;05 23 56.83;-07 48 29.0; 0.012;G8III
081.1060833;+17.3835278;HD035296        ;05 24 25.46;+17 23 00.7; 0.000;F8V
081.9120417;+34.4758889;HD035620        ;05 27 38.89;+34 28 33.2; 0.115;K4IIIp
082.1087500; -3.4995556;HD036003        ;05 28 26.10;-03 29 58.4; 0.011;K5V
082.8641667; -3.6772222;HD036395        ;05 31 27.40;-03 40 38.0; 0.006;M1V
084.2266250; +9.2906667;HD037160        ;05 36 54.39;+09 17 26.4; 0.000;G8III-IV
085.0726250;-19.2271667;HD037792        ;05 40 17.43;-19 13 37.8; 0.007;F2IV/V
085.1752083;+31.9206111;HD037536        ;05 40 42.05;+31 55 14.2; 0.530;M2Iabs
085.2276667;-11.2000556;HD037828        ;05 40 54.64;-11 12 00.2; 0.020;K0
085.3347500;+53.4810556;HD037394        ;05 41 20.34;+53 28 51.8; 0.000;K1V
085.6192917; +1.4746389;HD037984        ;05 42 28.63;+01 28 28.7; 0.010;K1III
086.1105833;-22.4218889;HD038392        ;05 44 26.54;-22 25 18.8; 0.120;K2V
086.1157917;-22.4483889;HD038393        ;05 44 27.79;-22 26 54.2; 0.000;F6V
086.3744583;+52.1610556;HD038007        ;05 45 29.87;+52 09 39.8; 0.015;G0
086.8047917;+14.4883056;HD038545        ;05 47 13.15;+14 29 17.9; 0.051;A3Vn
087.2540417;+24.5675278;HD038751        ;05 49 00.97;+24 34 03.1; 0.018;G8IIIvar
087.2935417;+39.1810556;HD038656        ;05 49 10.45;+39 10 51.8; 0.020;G8III
087.8304167;-20.8790833;HD039364        ;05 51 19.30;-20 52 44.7; 0.000;G8III/IV
088.6817917;-11.7741944;HD039853        ;05 54 43.63;-11 46 27.1; 0.000;K5III
088.7581667; -0.5079722;HD039833        ;05 55 01.96;-00 30 28.7; 0.010;G0III
088.7929167; +7.4070556;HD039801        ;05 55 10.30;+07 24 25.4; 0.128;M2Iab
089.2338333;+24.2496944;HD039970        ;05 56 56.12;+24 14 58.9; 0.380;A0Ia
090.0139583; -3.0742500;HD040657        ;06 00 03.35;-03 04 27.3; 0.029;K1.5III
090.8119167;+19.3607500;HD250792        ;06 03 14.86;+19 21 38.7; 0.017;G0V
090.8150000;-26.2845556;HD041312        ;06 03 15.60;-26 17 04.4; 0.030;K3II/IIICNv
090.9799167;+20.1384444;HD041117        ;06 03 55.18;+20 08 18.4; 0.454;B2Iave
091.4897500; +7.3175278;HD251611        ;06 05 57.54;+07 19 03.1; 0.000;F8
091.6614167; -4.1938333;HD041692        ;06 06 38.74;-04 11 37.8; 0.035;B5IV
092.0964167;+41.0557222;HD041636        ;06 08 23.14;+41 03 20.6; 0.016;G9III
092.3996250; +5.6688889;HD042182        ;06 09 35.91;+05 40 08.0; 0.033;G0
092.4958750;+58.9356944;HD041597        ;06 09 59.01;+58 56 08.5; 0.042;G8III
092.9843750;+23.2070556;HD042474        ;06 11 56.25;+23 12 25.4;      ;M2Iabpe...
093.0795833;+22.9085000;HD042543        ;06 12 19.10;+22 54 30.6; 0.606;M1Ia-ab
093.7120000;+19.1564444;HD043042        ;06 14 50.88;+19 09 23.2; 0.000;F6V
093.8927500; -0.5121944;HD043318        ;06 15 34.26;-00 30 43.9; 0.030;F6V
094.0063333;+37.7218889;BD+371458       ;06 16 01.52;+37 43 18.8; 0.037;G0
094.5702917;+46.3604444;HD043380        ;06 18 16.87;+46 21 37.6; 0.019;K2III
094.7022083;-14.8453889;HD044007        ;06 18 48.53;-14 50 43.4; 0.000;G5IVw
094.9057917;+59.0109722;HD043378        ;06 19 37.39;+59 00 39.5; 0.013;A2Vs
094.9173750;+16.0132500;HD043947        ;06 19 40.17;+16 00 47.7; 0.000;F8V
095.1472083;+25.6081389;HD044030        ;06 20 35.33;+25 36 29.3; 0.107;K4III
095.9950417; -9.0687778;HD044889        ;06 23 58.81;-09 04 07.6; 0.074;K0
096.6076667;+56.2850833;HD044691A       ;06 26 25.84;+56 17 06.3; 0.022;A3m
096.6698750; +3.4249444;HD045282        ;06 26 40.77;+03 25 29.8; 0.000;G0
097.5095417; +7.9211111;HD045829        ;06 30 02.29;+07 55 16.0; 0.228;K0Iab
098.1582917; -6.4884722;HD046341        ;06 32 37.99;-06 29 18.5; 0.000;G0
099.1710000;-19.2558889;HD047205        ;06 36 41.04;-19 15 21.2; 0.000;K1IV
099.4684167;+53.5172222;HD046703        ;06 37 52.42;+53 31 02.0; 0.100;F7IVw
100.7707083;+44.5244444;HD047914        ;06 43 04.97;+44 31 28.0; 0.033;K5III
100.9830417;+25.1311111;HD048329        ;06 43 55.93;+25 07 52.0; 0.000;G8Ib
100.9970417;+13.2280278;HD048433        ;06 43 59.29;+13 13 40.9; 0.046;K1III
101.1790833;+14.9099722;BD+151305       ;06 44 42.98;+14 54 35.9; 0.000;
101.2288333;+20.8606389;HD048565        ;06 44 54.92;+20 51 38.3; 0.015;F8
101.6847500;+43.5774167;HD048682        ;06 46 44.34;+43 34 38.7; 0.000;G0V
101.8326250; +8.0372500;HD049161        ;06 47 19.83;+08 02 14.1; 0.025;K4III
101.9050833; -8.9985000;HD049331        ;06 47 37.22;-08 59 54.6; 0.293;M1II
102.7076250; -0.5408889;HD049933        ;06 50 49.83;-00 32 27.2; 0.001;F2V
103.5475000;-12.0386389;HD050778        ;06 54 11.40;-12 02 19.1; 0.005;K4III
103.8110833;+43.9100278;HD050420        ;06 55 14.66;+43 54 36.1; 0.036;A9III
104.7618750;+38.0523056;HD051440        ;06 59 02.85;+38 03 08.3; 0.008;K2III
105.0659167;+16.0790000;HD052005        ;07 00 15.82;+16 04 44.4; 0.232;K4Iab
106.0272083;+20.5703056;HD052973        ;07 04 06.53;+20 34 13.1; 0.202;G0Ibvar
